CustomerID,Recency,Frequency,Monetary
13246.0,18,6,1987.3
13263.0,1,35,7454.07
13266.0,11,12,3834.2599999999998
13267.0,3,19,4521.49
13268.0,18,11,3214.69
13269.0,1,15,5346.2300000000005
13305.0,4,10,2000.86
13309.0,7,5,1456.79
13319.0,5,26,10845.550000000001
13323.0,3,5,787.85
13394.0,2,8,2520.02
13408.0,2,62,28117.04
13418.0,12,18,6127.43
13426.0,1,10,3641.32
13435.0,5,7,3809.8900000000003
13437.0,14,7,3408.06
13448.0,17,6,3539.37
13456.0,18,6,1766.72
13458.0,7,14,9646.57
13468.0,2,37,5704.97
13488.0,17,13,8968.31
13495.0,8,5,2044.8700000000001
13499.0,18,5,1159.11
13509.0,9,7,979.72
13534.0,2,25,5870.08
13536.0,1,7,3448.29
13571.0,13,12,2092.32
13576.0,10,18,6717.34
13588.0,16,9,2478.95
13590.0,11,6,1981.92
13599.0,1,21,5153.67
13610.0,12,7,1131.88
13630.0,5,7,2031.78
13650.0,17,6,1836.34
13658.0,10,5,2639.17
13668.0,3,21,6363.59
13685.0,3,7,3119.44
13694.0,4,50,65039.62
13704.0,5,9,2308.06
13709.0,4,13,6328.05
13719.0,15,5,1041.68
13742.0,17,12,3131.02
13743.0,3,7,1341.6
13755.0,4,9,2161.35
13756.0,2,14,5189.52
13758.0,12,7,3190.55
13767.0,2,37,17220.36
13769.0,2,10,2796.51
13777.0,1,33,25977.16
13782.0,13,6,912.0
13784.0,10,11,2462.79
13798.0,1,57,37153.85
13808.0,6,5,1747.66
13831.0,16,6,2202.99
13854.0,9,25,8109.5199999999995
13860.0,1,5,1245.9
13862.0,18,8,2209.36
13870.0,2,8,2770.94
13881.0,4,20,17159.52
13882.0,3,5,1191.13
13883.0,11,5,2674.48
13884.0,7,5,787.6
13890.0,1,10,1883.8100000000002
13924.0,2,6,1838.8500000000001
13949.0,3,6,2427.32
13953.0,7,7,3515.68
13956.0,5,5,1026.42
13969.0,7,18,9053.94
13985.0,4,15,7060.13
13991.0,12,6,855.97
13994.0,4,6,2313.14
13995.0,15,5,1393.69
13999.0,10,12,3901.81
14005.0,10,5,2874.72
14030.0,18,8,2360.09
14031.0,7,19,17286.86
14032.0,2,11,2975.59
14047.0,9,5,1308.6100000000001
14051.0,1,23,15610.390000000001
14056.0,1,23,8214.65
14060.0,5,19,6140.42
14062.0,10,12,10464.85
14071.0,4,8,1438.82
14083.0,4,9,1018.43
14085.0,2,18,4448.54
14088.0,10,13,50491.81
14092.0,8,14,4076.91
14096.0,4,17,65164.79
14099.0,16,11,3104.17
14102.0,5,5,1360.28
14110.0,4,12,5683.15
14129.0,2,5,1123.8600000000001
14132.0,2,11,3586.0299999999997
14135.0,2,15,4690.31
14146.0,9,5,4191.0
14156.0,10,55,117379.63
14178.0,9,7,1620.93
14180.0,11,25,4748.52
14189.0,2,15,4654.08
14191.0,2,13,4684.76
14194.0,5,21,11349.52
14209.0,11,6,2073.43
14215.0,12,6,1789.72
14217.0,2,17,2004.98
14243.0,9,10,2588.77
14251.0,2,5,2879.7000000000003
14258.0,9,9,12669.98
14262.0,8,8,2618.23
14282.0,3,15,3729.34
14289.0,9,6,911.26
14290.0,11,5,2314.65
14291.0,2,11,3883.25
14292.0,8,9,4871.93
14298.0,8,44,51527.3
14299.0,8,9,3965.62
14309.0,8,9,2352.53
14321.0,11,5,1530.75
14329.0,17,7,5014.84
14334.0,17,8,2552.21
14367.0,8,16,9261.52
14388.0,10,8,3212.84
14390.0,10,9,4652.82
14395.0,2,9,3507.71
14397.0,3,19,2612.96
14401.0,4,13,4051.48
14408.0,11,7,2606.53
14415.0,1,13,5900.28
14419.0,11,6,1058.06
14422.0,1,6,4263.64
14428.0,7,5,1244.83
14432.0,10,6,2255.51
14440.0,8,5,2357.6800000000003
14456.0,5,9,3062.4
14482.0,18,6,2068.15
14493.0,7,5,2383.2400000000002
14503.0,3,6,3543.26
14505.0,17,8,5905.64
14506.0,17,5,2012.17
14511.0,11,5,1314.81
14515.0,18,6,2102.09
14527.0,3,55,8508.82
14534.0,3,18,4447.05
14546.0,5,5,2578.09
14547.0,4,8,4007.54
14560.0,7,22,2237.77
14562.0,4,18,5074.77
14572.0,3,7,2832.84
14583.0,6,5,1052.55
14606.0,1,93,12156.65
14607.0,16,14,16569.5
14621.0,1,5,1788.3600000000001
14646.0,2,73,280206.02
14653.0,1,7,1947.55
14659.0,9,9,2529.93
14667.0,11,25,9241.2
14673.0,3,5,1736.4
14688.0,8,21,5630.87
14696.0,4,7,2078.95
14698.0,2,5,1250.76
14701.0,11,9,2549.37
14702.0,1,17,3292.14
14704.0,11,9,1546.91
14709.0,15,13,4921.04
14711.0,10,11,2868.8
14713.0,9,11,2666.36
14719.0,2,5,1602.13
14723.0,10,6,1158.3
14730.0,1,8,2005.06
14732.0,8,8,2702.4900000000002
14733.0,16,12,9585.91
14735.0,4,32,6065.69
14739.0,4,7,3902.28
14741.0,12,6,1400.34
14744.0,16,7,1099.98
14755.0,10,11,5010.28
14766.0,8,6,2473.37
14769.0,3,8,10674.75
14794.0,3,7,1319.91
14796.0,1,17,8022.49
14825.0,4,12,2226.91
14834.0,18,6,1720.3
14866.0,11,12,14389.9
14868.0,3,8,2953.59
14878.0,13,9,1485.54
14895.0,8,20,11138.710000000001
14901.0,11,9,1421.29
14907.0,3,7,3501.1
14911.0,1,201,143825.06
14931.0,5,5,1257.68
14961.0,11,9,7044.68
14963.0,10,5,1487.8
15005.0,16,28,6316.57
15021.0,9,9,1914.82
15023.0,3,11,6802.76
15024.0,10,10,1661.33
15033.0,5,10,2586.67
15034.0,16,8,4308.61
15039.0,10,47,19914.44
15046.0,9,15,5213.7699999999995
15061.0,4,48,54534.14
15078.0,7,32,9743.11
15089.0,10,6,2420.84
15093.0,18,6,4597.02
15105.0,18,7,2298.93
15106.0,18,5,1422.52
15117.0,15,5,1551.78
15132.0,18,5,977.9300000000001
15134.0,15,8,1387.99
15144.0,8,17,6580.44
15150.0,17,10,5314.47
15152.0,10,13,4745.69
15159.0,2,30,18641.010000000002
15172.0,9,5,1624.05
15179.0,18,5,2206.95
15187.0,2,16,4777.18
15189.0,1,41,16225.39
15194.0,3,15,7616.53
15208.0,1,5,870.12
15214.0,2,8,1661.44
15218.0,11,11,5756.89
15251.0,9,11,10484.99
15253.0,16,5,918.1999999999999
15270.0,16,7,2379.49
15271.0,7,15,2507.07
15290.0,5,18,7943.22
15298.0,2,12,4799.9
15311.0,1,91,60767.9
15351.0,12,7,1960.1100000000001
15358.0,5,22,8347.2
15373.0,8,12,2415.91
15380.0,9,5,1690.2600000000002
15382.0,15,6,5955.71
15434.0,8,5,1041.48
15443.0,2,7,3236.91
15453.0,2,7,1388.37
15473.0,14,7,1771.2
15482.0,16,12,11054.96
15498.0,3,27,13316.4
15502.0,16,12,10384.93
15511.0,12,5,909.23
15514.0,12,11,4139.46
15544.0,9,9,3546.71
15547.0,7,14,4954.84
15555.0,12,16,4805.17
15570.0,7,12,4165.52
15572.0,5,7,2552.86
15594.0,16,5,1771.78
15601.0,11,14,6776.56
15602.0,8,9,1297.8700000000001
15611.0,10,13,1591.45
15615.0,10,23,10399.74
15628.0,5,9,2870.2400000000002
15632.0,16,8,3285.31
15640.0,4,15,12515.66
15687.0,9,9,2993.1
15694.0,1,14,6479.4
15712.0,9,5,1072.3600000000001
15727.0,17,7,5178.96
15737.0,15,8,1205.1200000000001
15750.0,3,8,2465.48
15755.0,10,6,2364.25
15769.0,7,26,56252.72
15796.0,1,8,2711.56
15804.0,1,13,4206.39
15838.0,11,19,33643.08
15845.0,18,8,3711.77
15854.0,4,12,2974.65
15856.0,4,27,16387.57
15858.0,16,5,1438.85
15861.0,12,8,3165.36
15867.0,5,15,3812.64
15898.0,1,5,1388.88
15903.0,10,7,5126.76
15910.0,1,8,1232.18
15916.0,16,8,1528.09
15932.0,4,8,2495.87
15953.0,15,8,1659.3799999999999
15971.0,18,12,4199.85
15984.0,3,10,2837.67
15987.0,12,7,1451.28
15993.0,9,7,2797.57
16011.0,8,16,3362.71
16013.0,4,47,37130.6
16016.0,3,8,1508.76
16033.0,6,20,8816.4
16057.0,16,7,2263.12
16066.0,17,5,1521.87
16076.0,3,10,2234.73
16103.0,7,6,1429.64
16107.0,18,7,3204.1600000000003
16115.0,10,8,1667.97
16128.0,18,5,1880.22
16133.0,4,33,14589.04
16143.0,3,6,2424.94
16145.0,9,11,3799.4900000000002
16156.0,9,9,3122.04
16161.0,2,19,5575.56
16168.0,11,27,3787.6
16173.0,16,6,1418.32
16191.0,3,13,5180.52
16210.0,2,18,21086.3
16241.0,10,13,2607.87
16242.0,8,7,3603.21
16255.0,17,8,2619.91
16265.0,9,9,5447.0
16271.0,3,5,1429.24
16283.0,6,5,1570.81
16326.0,6,14,3110.96
16327.0,14,6,3844.22
16333.0,8,22,26626.8
16353.0,4,23,6675.71
16359.0,7,9,1750.92
16360.0,5,6,3512.53
16365.0,18,9,1540.42
16393.0,2,13,3046.21
16401.0,1,12,4098.32
16407.0,13,10,2126.93
16422.0,17,51,34684.4
16426.0,2,10,1908.25
16438.0,6,5,798.35
16440.0,8,5,3640.67
16458.0,3,18,3482.7400000000002
16474.0,7,7,1871.5
16500.0,5,6,400.86
16523.0,2,21,9418.470000000001
16525.0,2,26,13027.45
16549.0,10,10,4154.64
16558.0,1,20,8338.49
16566.0,15,5,614.66
16570.0,15,10,3738.4
16592.0,4,16,4113.68
16600.0,4,6,813.52
16607.0,18,14,3347.71
16609.0,15,7,5493.46
16626.0,1,17,4413.1
16633.0,17,6,2883.1
16655.0,18,6,3794.52
16668.0,15,6,306.71999999999997
16670.0,17,11,4095.9
16672.0,2,20,8134.9400000000005
16678.0,3,12,3109.99
16682.0,5,5,1028.0
16684.0,4,28,66653.56
16700.0,9,13,5076.55
16701.0,9,13,5398.3
16705.0,1,20,14034.99
16711.0,3,5,1651.03
16712.0,9,11,3645.43
16719.0,15,7,1790.42
16722.0,17,13,4730.81
16744.0,11,7,1304.76
16746.0,5,18,6697.66
16748.0,18,5,1515.9
16764.0,4,13,2799.25
16775.0,10,11,1695.66
16779.0,2,22,10629.720000000001
16782.0,10,13,2279.9
16790.0,4,6,1545.6200000000001
16794.0,1,10,1222.71
16813.0,8,10,1692.98
16814.0,14,21,6509.1
16817.0,3,9,1604.75
16818.0,11,11,3349.57
16839.0,9,34,16594.35
16873.0,5,6,7123.62
16877.0,12,6,853.72
16891.0,2,5,809.7
16892.0,1,5,525.54
16899.0,8,6,1281.56
16904.0,4,16,3754.27
16905.0,5,7,3102.43
16910.0,4,8,1510.06
16915.0,9,6,621.6800000000001
16923.0,12,19,7247.61
16929.0,4,7,1295.39
16931.0,5,21,4604.22
16942.0,13,9,1920.59
16949.0,4,6,1286.27
16954.0,1,9,2085.08
16966.0,8,7,2154.97
16979.0,4,6,1852.0
16983.0,13,7,1931.25
16985.0,17,10,5464.12
16987.0,3,7,1625.05
16989.0,7,6,1133.25
16992.0,11,5,1614.31
17001.0,1,11,3989.57
17017.0,3,20,8694.26
17042.0,3,5,1044.3799999999999
17049.0,3,9,5659.9800000000005
17068.0,12,21,4552.14
17086.0,7,6,2050.08
17090.0,4,7,2043.95
17091.0,3,9,3827.76
17097.0,2,8,954.42
17114.0,6,8,808.62
17131.0,5,5,2463.17
17133.0,16,7,4892.240000000001
17135.0,16,7,1139.73
17139.0,16,12,10668.47
17173.0,5,8,3766.6
17183.0,8,6,3347.31
17188.0,11,7,2474.23
17218.0,4,10,1960.72
17228.0,16,8,1906.09
17231.0,12,10,3174.32
17236.0,13,6,916.13
17238.0,3,17,3744.65
17243.0,1,26,8676.85
17288.0,9,7,1419.73
17293.0,8,9,1875.1100000000001
17302.0,15,5,1135.63
17306.0,11,19,8631.31
17315.0,2,38,6292.26
17323.0,15,7,921.07
17338.0,17,8,6643.93
17346.0,4,15,2676.56
17348.0,15,5,1159.52
17364.0,1,11,4481.18
17365.0,13,8,4801.56
17381.0,9,29,20275.61
17386.0,8,6,2686.42
17389.0,1,34,31833.68
17402.0,5,13,2633.85
17404.0,4,15,31906.82
17410.0,16,5,1214.72
17412.0,3,7,1258.06
17419.0,11,12,4226.57
17422.0,16,6,1979.37
17426.0,8,6,5037.26
17428.0,1,28,17256.85
17434.0,2,7,2373.82
17449.0,2,7,2520.86
17450.0,8,46,194550.79
17451.0,1,7,1721.4
17463.0,16,5,1896.41
17469.0,16,5,1870.97
17490.0,1,7,2092.32
17491.0,1,10,3558.87
17511.0,3,31,91062.38
17516.0,15,5,768.08
17519.0,17,6,1844.02
17522.0,2,5,1070.71
17528.0,1,8,3628.5
17530.0,1,10,2385.0
17554.0,1,5,1952.45
17562.0,14,7,1122.38
17567.0,7,8,4331.48
17576.0,8,19,3622.68
17581.0,1,25,11045.04
17593.0,4,5,3927.34
17602.0,2,6,5102.97
17611.0,7,15,3984.22
17629.0,6,8,1814.12
17644.0,1,11,2895.64
17651.0,12,10,3945.0
17655.0,11,7,2638.94
17659.0,17,12,2999.46
17673.0,2,6,1629.12
17675.0,1,31,20374.28
17676.0,4,6,1387.68
17677.0,2,30,16363.23
17682.0,10,6,2474.33
17685.0,17,7,3191.53
17686.0,7,7,5739.46
17705.0,3,9,1823.52
17706.0,4,17,10504.49
17725.0,16,11,3439.08
17730.0,3,13,5298.4800000000005
17735.0,2,19,13110.02
17739.0,12,7,2791.35
17744.0,4,6,2322.4
17750.0,5,9,1797.57
17754.0,1,5,1772.26
17757.0,1,30,5605.29
17769.0,13,10,3997.98
17809.0,16,12,5411.91
17811.0,4,39,7837.7300000000005
17813.0,14,5,1770.8799999999999
17827.0,5,5,1995.46
17841.0,2,124,40991.57
17857.0,4,23,26879.04
17858.0,6,12,5155.66
17861.0,3,8,2100.8
17870.0,2,12,1894.35
17920.0,4,17,4204.1
17924.0,12,7,2962.5
17937.0,9,7,4301.22
17949.0,1,45,58510.48
17954.0,5,12,2332.72
17975.0,15,13,4488.81
17988.0,12,7,201.12
18041.0,12,21,4183.39
18044.0,4,10,2088.6
18055.0,7,10,6784.1900000000005
18065.0,6,14,2392.83
18077.0,8,11,2633.0099999999998
18092.0,2,11,9068.26
18097.0,8,6,2697.8
18102.0,1,60,259657.3
18109.0,2,26,8052.97
18118.0,11,26,5653.82
18122.0,8,6,1826.21
18139.0,18,6,8438.34
18144.0,8,12,2888.75
18161.0,15,5,1618.69
18172.0,15,20,7561.68
18179.0,9,6,1793.17
18180.0,5,6,1843.75
18198.0,4,17,5425.56
18210.0,2,6,2621.38
18219.0,3,10,2069.77
18223.0,5,14,6484.54
18225.0,3,12,5509.12
18229.0,12,20,7276.900000000001
18230.0,9,7,2810.2000000000003
18237.0,3,5,987.1
18241.0,10,17,2073.09
18245.0,7,7,2567.06
18272.0,3,6,3078.58
18283.0,4,16,2094.88
